feature,importance
stage_good,0.7820257668802966
normalized_cycle,0.12544441439862256
stage_warning,0.039572269509761906
sensor_9_rolling_std_20,0.004064422656574579
sensor_12_rolling_std_20,0.0017761512896721779
sensor_7_rolling_std_20,0.0017596383659079261
sensor_4_rolling_std_20,0.0017168817689835266
sensor_21_rolling_std_20,0.00161215591672592
sensor_2_rolling_std_20,0.001610777982456293
sensor_3_rolling_std_20,0.0015164763308129952
sensor_14_rolling_std_20,0.001499950329227453
sensor_20_rolling_std_20,0.001442407349248353
sensor_14_rolling_mean_20,0.0014352209094392178
sensor_11_rolling_std_20,0.0012872603019073526
sensor_9_rolling_mean_20,0.0012421502665269986
sensor_17_rolling_std_20,0.0012259988521987127
sensor_12_rolling_std_10,0.000930996398755156
sensor_20_rolling_std_10,0.000918984676871447
sensor_4_rolling_std_10,0.0007435344411939426
sensor_17_rolling_mean_20,0.0007335649121722073
sensor_17_rolling_std_10,0.0007197470409227445
sensor_14_ema_20,0.00070905864755528
sensor_3_rolling_mean_20,0.0006981925952065063
sensor_9_rolling_std_10,0.0006636987385498341
sensor_2_rolling_mean_20,0.0006629558945732866
sensor_14_rolling_std_10,0.0006587497437744739
sensor_3_rolling_std_10,0.0006583636531511729
sensor_7_rolling_std_10,0.0006557631762339846
sensor_7_rolling_mean_20,0.0006520059800181365
sensor_2_rolling_std_10,0.0006436791988655794
sensor_21_rolling_std_10,0.0006101513674648688
sensor_11_rolling_std_10,0.0006007788762392177
sensor_14_rolling_mean_10,0.0005854840233656812
sensor_20_rolling_mean_20,0.0005796575136821684
sensor_21_rolling_mean_20,0.0005309084518801908
sensor_9_ema_20,0.0005297675711205082
sensor_12_rolling_mean_20,0.0005288822244462704
sensor_17_rolling_mean_10,0.0005030302126520936
sensor_4_rolling_mean_20,0.0004979101137881178
sensor_14_ema_10,0.0004835102954143699
sensor_11_rolling_mean_20,0.0004806808519001381
sensor_9_rolling_mean_10,0.0004758512376582365
sensor_9_rolling_mean_5,0.0004601138886673357
sensor_14_rolling_mean_5,0.00044499553676355017
sensor_17_ema_20,0.0004420465047733808
sensor_2_rolling_mean_10,0.0004294481349047922
sensor_7_ema_20,0.0004249831419857077
sensor_3_rolling_mean_10,0.0003782966444632693
sensor_20_rolling_mean_10,0.00037405090062653034
sensor_20_ema_20,0.0003571238875172386
sensor_12_rolling_mean_10,0.00034246977673695186
sensor_14_rolling_std_5,0.00033242986701593466
sensor_3_ema_20,0.0003268483755632104
sensor_7_rolling_mean_10,0.00031790144212421267
sensor_17_ema_10,0.0003119569276855479
sensor_2_rolling_std_5,0.0003054496285318863
sensor_4_rolling_mean_10,0.00030429893022485043
sensor_21_rolling_mean_10,0.0002949982080973136
sensor_4_rolling_std_5,0.00029398972390545574
sensor_9_ema_10,0.0002929824462362914
sensor_12_ema_20,0.0002836549878054997
sensor_9_rolling_std_5,0.00028096420276944677
sensor_11_rolling_std_5,0.00027366478657137955
sensor_2_ema_20,0.0002736500051977534
sensor_12_rolling_std_5,0.00027061279604226774
sensor_4_ema_20,0.00026914689511619265
sensor_20_rolling_std_5,0.0002611306097500886
sensor_3_rolling_std_5,0.00025733135774419524
sensor_7_rolling_std_5,0.00025248760761755536
sensor_21_rolling_std_5,0.0002495554051833985
sensor_2_rolling_mean_5,0.00024734084743137125
sensor_21_ema_20,0.00024013006889939375
sensor_11_rolling_mean_10,0.0002136382337129313
sensor_20_rolling_mean_5,0.00019208960104086947
sensor_20_ema_10,0.0001890535030482004
sensor_21_rolling_mean_5,0.0001877197000284643
sensor_11_ema_20,0.0001869835347957488
sensor_7_rolling_mean_5,0.00018561772448885206
sensor_12_rolling_mean_5,0.0001848473159694223
sensor_2_ema_10,0.00017933942134250406
sensor_7_ema_10,0.00017721176876631204
sensor_14,0.00017246298455628369
sensor_17_rolling_std_5,0.00016764960270024737
sensor_4_ema_10,0.00016428223818112472
sensor_3_rolling_mean_5,0.0001561337217285627
sensor_3_ema_10,0.00015238877228120848
sensor_4_rolling_mean_5,0.00014719137900837034
sensor_21_ema_10,0.0001440182549472527
sensor_11_rolling_mean_5,0.0001436399943437702
sensor_11_ema_10,0.00014246765585003454
sensor_9,0.0001409614357453811
sensor_12_ema_10,0.00012240369168087145
sensor_21_roc,7.776977001220381e-05
sensor_17_rolling_mean_5,7.738391816066051e-05
sensor_7,7.554930800864454e-05
sensor_4,7.365022743802339e-05
setting_1,7.361977105623896e-05
sensor_2,7.278798770179175e-05
sensor_3,6.839806157469106e-05
sensor_9_roc,6.696318969219896e-05
sensor_12,6.626200112187365e-05
sensor_14_roc,6.530251224304042e-05
sensor_2_roc,6.486898935527291e-05
sensor_7_roc,6.43543706656364e-05
sensor_11,6.224219980125836e-05
sensor_20,6.062794955165237e-05
sensor_12_roc,5.9969167663629136e-05
sensor_4_roc,5.906786734310659e-05
sensor_21,5.5135979974924254e-05
sensor_3_roc,5.1856875543436064e-05
sensor_20_roc,5.110302712260218e-05
sensor_11_roc,4.641373329837059e-05
setting_2,3.93434009342052e-05
sensor_17_roc,1.8996182080935557e-05
sensor_17,1.5522881176703654e-05
stage_critical,8.056124923818774e-07
setting_3,0.0
